您的生理性別為?,您的年齡區間為?,您的職業類別為?,您一個月的平均花費為多少新台幣?,請問您每日使用手機的平均時長為何?,您目前這支手機已使用多久?,請問您近一次汰換手機的原因為何?,請問您通常多久會汰換手機？,我認為我目前所持有的手機符合我的使用需求,您目前主力使用的 iPhone 螢幕尺寸為何?,請問您一次願意花多少新台幣購買手機充電設備 (例如：充電線、豆腐頭) ?,選擇手機的時候，螢幕大是我的優先考量,若今天 Apple 宣佈下一代 iPhone 會將現行使用的 Lightning 接口換為 USB Type-C 接口，我會更想購買下一代 iPhone,請問 iPhone 尺寸的大小變化是否影響您的購買意願？,我在購買的手機之前，會先到各大論壇或 YouTube 頻道觀看文章/影片了解手機的相關參數,請問電池大小（續航力）是否影響您的購買意願?
2,2,1,4,2,4,2,5,2,3,2,2,2,2,4,4
1,2,1,2,3,3,2,0,4,4,3,1,4,5,5,5
1,2,6,5,4,3,1,5,4,7,2,2,1,3,2,5
1,2,1,2,2,2,1,4,4,7,2,3,3,4,5,5
1,2,3,2,1,3,5,3,4,8,2,3,4,4,3,5
2,2,1,2,1,3,1,5,4,10,2,3,3,3,4,5
2,2,1,3,2,2,2,3,5,7,2,2,4,4,3,3
2,2,1,2,3,4,2,6,2,8,3,1,5,4,5,5
2,3,1,4,2,2,1,2,2,8,2,3,5,4,4,4
2,2,1,1,2,5,1,5,3,3,3,3,2,4,4,5
1,2,1,2,3,3,2,4,5,7,3,1,5,1,4,5
2,2,0,2,4,0,5,6,4,7,2,2,5,5,4,5
2,2,1,2,3,2,2,3,4,7,5,3,3,3,5,5
2,3,3,5,3,1,0,3,5,10,2,5,3,4,1,5
2,3,3,4,4,2,1,5,5,4,2,1,1,5,3,5
2,3,3,2,4,2,2,5,4,7,2,2,5,4,5,5
2,2,1,2,3,2,2,3,4,7,3,4,4,4,4,5
2,2,2,2,2,1,2,3,5,8,3,5,2,5,5,5
2,3,3,4,3,1,2,5,5,7,2,4,3,3,2,4
2,2,1,2,3,1,2,5,5,10,2,5,3,4,5,5
1,3,3,4,4,1,1,5,4,8,4,3,3,4,4,5
2,1,1,1,2,1,2,5,5,10,2,2,1,3,5,5
2,2,1,2,2,1,5,3,5,8,2,2,5,3,3,5
2,4,3,6,3,1,2,5,5,10,5,2,2,2,5,5
2,3,3,5,2,2,4,6,5,7,5,3,3,4,3,4
2,2,1,3,4,4,2,4,4,7,3,3,1,4,2,5
1,4,0,3,3,5,1,5,5,5,2,1,5,1,3,5
2,2,1,3,3,3,2,3,5,8,3,4,3,5,4,4
2,4,0,6,2,2,2,3,5,7,2,2,3,3,4,4
2,3,2,3,2,1,2,4,4,8,2,4,4,4,4,5
2,1,1,1,4,1,2,5,5,7,2,2,1,5,5,5
1,2,1,1,3,4,3,5,4,6,2,2,1,2,5,5
2,4,2,4,2,5,2,5,2,3,3,3,5,4,4,4
2,3,0,4,3,1,0,6,5,8,3,1,3,4,4,5
2,1,1,1,3,2,2,5,5,7,3,3,4,1,3,4
2,1,1,1,2,1,1,2,5,7,2,3,2,2,2,4
2,3,3,2,3,3,2,5,5,4,2,3,3,2,1,4
2,1,1,1,3,2,1,5,3,5,2,4,3,4,5,5
2,2,1,2,3,4,2,5,5,7,3,3,3,4,5,5
2,2,1,2,3,1,1,5,4,8,2,4,2,4,2,4
2,2,0,4,4,3,2,5,4,4,2,3,3,3,4,5
2,2,1,2,3,1,5,3,4,7,2,3,3,4,3,4
1,2,1,1,1,3,1,5,5,9,2,2,5,3,5,3
2,2,1,3,2,3,2,5,4,7,2,3,3,3,3,4
2,2,1,3,3,1,1,4,5,8,4,1,3,2,2,3
1,2,2,6,3,2,1,3,3,7,3,4,2,4,5,5
1,3,1,1,4,1,1,3,5,7,3,5,3,5,5,5
2,2,1,2,4,2,2,5,5,8,2,3,3,2,5,5
1,3,0,6,4,1,5,2,3,8,5,2,3,1,3,5
2,2,1,4,2,1,1,5,5,8,3,1,3,3,2,4
1,2,1,3,2,2,2,3,2,8,2,3,4,4,4,5
1,2,1,2,3,4,2,6,3,3,3,2,3,4,4,4
1,2,1,3,3,3,2,4,4,7,5,4,5,4,5,5
1,3,1,2,3,3,2,6,5,7,3,4,3,5,4,5
1,2,1,5,3,3,1,3,5,8,4,3,3,3,2,4
1,3,0,5,4,3,0,5,5,7,4,3,3,3,2,5
1,4,0,4,3,2,1,3,5,7,2,3,5,3,3,4
1,3,6,6,3,3,5,3,3,7,4,4,5,5,5,5
1,2,1,2,2,2,5,2,4,3,2,2,3,4,4,4
2,1,1,3,4,2,1,5,4,8,2,3,3,4,4,5
2,4,3,3,4,1,2,5,5,9,2,5,5,5,5,5
1,2,1,3,2,2,2,6,5,7,3,2,3,3,5,5
2,2,1,3,2,1,1,5,5,10,3,2,2,2,2,2
1,2,3,4,3,3,1,5,3,3,2,1,1,1,5,4
1,2,1,2,3,3,2,5,5,10,2,5,5,5,5,5